metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker2",100.0,2,26.7,16741908480,377785000,385618155,1710848783.4005687,application_1710848715047_0001
"metricsType=""worker1",100.0,2,23.9,16741896192,410746208,402220207,1710848783.4000773,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.1,16741908480,528931887,552814814,1710848786.4693995,application_1710848715047_0001
"metricsType=""worker5",100.0,2,23.9,16741928960,597272879,477344969,1710848786.4712415,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.2,16741945344,627410464,627647198,1710848786.478509,application_1710848715047_0001
"metricsType=""worker1",100.0,2,23.9,16741896192,622906525,598331312,1710848786.4689837,application_1710848715047_0001
"metricsType=""worker3",100.0,2,21.5,16741928960,740406945,861024227,1710848786.4743621,application_1710848715047_0001
"metricsType=""worker4",100.0,2,21.7,16741949440,935017050,935045875,1710848786.4690127,application_1710848715047_0001
"metricsType=""worker1",100.0,2,24.3,16741896192,864555103,808744918,1710848790.0663514,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.0,16741949440,1179671368,1179694538,1710848790.0663464,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.3,16741928960,838261788,678731289,1710848790.0690763,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.5,16741945344,863589606,863819310,1710848790.0761886,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.2,16741908480,718867749,773968731,1710848790.067524,application_1710848715047_0001
"metricsType=""worker3",100.0,2,21.8,16741928960,936846715,1097054761,1710848790.0722077,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.0,16741928960,1138774545,1338637798,1710848793.6397586,application_1710848715047_0001
"metricsType=""worker1",100.0,2,24.6,16741896192,1105353755,1020634389,1710848793.6347685,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.5,16741928960,1086572315,887374281,1710848793.6373408,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.1,16741949440,1429906979,1429924106,1710848793.6351032,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.6,16741945344,1098936396,1099158928,1710848793.6452203,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.3,16741908480,911664998,995660737,1710848793.6355648,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.0,16741928960,1343154533,1582894202,1710848797.2067919,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.4,16741908480,1101443075,1218668990,1710848797.2025626,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.6,16741928960,1340234839,1101148869,1710848797.2047117,application_1710848715047_0001
"metricsType=""worker1",100.0,2,24.8,16741896192,1352621905,1234657846,1710848797.2019596,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.6,16741945344,1338797522,1339014321,1710848797.2122717,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.3,16741949440,1681272340,1681284048,1710848797.2020373,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.5,16741908480,1297780585,1445751019,1710848800.781233,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.3,16741949440,1936159552,1936166220,1710848800.7802942,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.1,16741928960,1551731783,1831883262,1710848800.7853131,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.6,16741928960,1594806733,1315294883,1710848800.7833266,application_1710848715047_0001
"metricsType=""worker1",100.0,2,24.9,16741896192,1604952689,1456233102,1710848800.7810075,application_1710848715047_0001
