node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker10,0.0,0.5582902987437355,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker11,0.0,0.5322216969703586,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker12,0.0,0.5183620474943029,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker13,0.0,0.8965024180552894,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker14,12.5,0.9917495273137011,2,8.0,application_1726669773678_0040,2024-09-20T16:17:28
worker15,0.0,0.7321971755915091,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker16,0.0,0.8244394406541122,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker17,0.0,0.9273174571903686,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker18,0.0,0.8501056912352145,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker19,25.0,1.5110927333985003,2,8.0,application_1726669773678_0040,2024-09-20T16:17:28
worker20,0.0,0.8944595082635565,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker21,0.0,0.7828517308467009,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker22,0.0,0.8403248793712681,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker23,25.0,1.5049099037819813,2,8.0,application_1726669773678_0040,2024-09-20T16:17:28
worker24,0.0,0.9341427915592893,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker25,0.0,0.7966038755527372,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker26,12.5,0.9352700578118878,2,8.0,application_1726669773678_0040,2024-09-20T16:17:28
worker27,0.0,0.805607841094591,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker28,12.5,1.4683989835905353,2,8.0,application_1726669773678_0040,2024-09-20T16:17:28
worker29,0.0,0.8470754579476658,4,1.0,application_1726669773678_0040,2024-09-20T16:17:28
worker1,0.0,0.5419959457624746,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker2,0.0,0.5726530945087349,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker3,0.0,0.5785338343671564,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker4,0.0,0.5658011780426353,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker5,0.0,0.5056108193927655,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker6,0.0,0.5563524260493224,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker7,0.0,0.550852905689736,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker8,25.0,1.0477467676220042,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker9,0.0,0.5405835584762597,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker10,0.0,0.5588512286820668,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker11,0.0,0.5327216882268226,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker12,0.0,0.5188637096829818,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker13,0.0,0.8970589685498354,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
