progress,startTime,mapId,state,host,diagnostic,assignedContainer,executionTimeSec,elapsedTimeSec,finishTime,blockId,jobId,timestamp
19.04762,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000004_0 succeeded at 0.08 MB/s) Aggregated copy rate(16 of 28 at 0.06 MB/s),application_1726669773678_0043,2024-09-20T16:24:22
20.238096,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000015_0 succeeded at 0.08 MB/s) Aggregated copy rate(17 of 28 at 0.07 MB/s),application_1726669773678_0043,2024-09-20T16:24:24
20.238096,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000015_0 succeeded at 0.08 MB/s) Aggregated copy rate(17 of 28 at 0.07 MB/s),application_1726669773678_0043,2024-09-20T16:24:26
20.238096,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000015_0 succeeded at 0.08 MB/s) Aggregated copy rate(17 of 28 at 0.07 MB/s),application_1726669773678_0043,2024-09-20T16:24:28
22.619047,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000019_0 succeeded at 0.02 MB/s) Aggregated copy rate(19 of 28 at 0.05 MB/s),application_1726669773678_0043,2024-09-20T16:24:30
22.619047,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000019_0 succeeded at 0.02 MB/s) Aggregated copy rate(19 of 28 at 0.05 MB/s),application_1726669773678_0043,2024-09-20T16:24:32
22.619047,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000019_0 succeeded at 0.02 MB/s) Aggregated copy rate(19 of 28 at 0.05 MB/s),application_1726669773678_0043,2024-09-20T16:24:34
25.0,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000016_0 succeeded at 0.03 MB/s) Aggregated copy rate(21 of 28 at 0.04 MB/s),application_1726669773678_0043,2024-09-20T16:24:36
25.0,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000016_0 succeeded at 0.03 MB/s) Aggregated copy rate(21 of 28 at 0.04 MB/s),application_1726669773678_0043,2024-09-20T16:24:38
25.0,1726845842683,attempt_1726669773678_0043_r_000000_0,RUNNING,worker1:8042,,container_1726669773678_0043_01_000031,0.0,0.0,0,reduce > copy task(attempt_1726669773678_0043_m_000016_0 succeeded at 0.03 MB/s) Aggregated copy rate(21 of 28 at 0.04 MB/s),application_1726669773678_0043,2024-09-20T16:24:40
