appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0042,2024-09-20T16:21:35
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0042,2024-09-20T16:21:37
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0042,2024-09-20T16:21:39
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0042,2024-09-20T16:21:41
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0042,2024-09-20T16:21:43
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1726669773678_0042,2024-09-20T16:21:45
0,1,215040,22528,237568,211,21,232,29,29,0,0,9.1,9.5,application_1726669773678_0042,2024-09-20T16:21:47
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1726669773678_0042,2024-09-20T16:21:49
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1726669773678_0042,2024-09-20T16:21:51
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1726669773678_0042,2024-09-20T16:21:53
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1726669773678_0042,2024-09-20T16:21:55
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1726669773678_0042,2024-09-20T16:21:57
0,1,218112,19456,237568,214,18,232,29,29,0,0,7.8,8.2,application_1726669773678_0042,2024-09-20T16:21:59
0,1,218112,19456,237568,214,18,232,29,29,0,0,7.8,8.2,application_1726669773678_0042,2024-09-20T16:22:01
0,1,220160,17408,237568,216,16,232,29,29,0,0,6.9,7.3,application_1726669773678_0042,2024-09-20T16:22:03
0,1,220160,17408,237568,216,16,232,29,29,0,0,6.9,7.3,application_1726669773678_0042,2024-09-20T16:22:05
0,1,223232,14336,237568,219,13,232,29,29,0,0,5.6,6.0,application_1726669773678_0042,2024-09-20T16:22:07
0,1,226304,11264,237568,222,10,232,29,29,0,0,4.3,4.7,application_1726669773678_0042,2024-09-20T16:22:09
0,1,226304,11264,237568,222,10,232,29,29,0,0,4.3,4.7,application_1726669773678_0042,2024-09-20T16:22:11
0,1,225280,12288,237568,221,11,232,29,29,0,0,4.7,5.2,application_1726669773678_0042,2024-09-20T16:22:13
0,1,225280,12288,237568,221,11,232,29,29,0,0,4.7,5.2,application_1726669773678_0042,2024-09-20T16:22:15
0,1,227328,10240,237568,223,9,232,29,29,0,0,3.9,4.3,application_1726669773678_0042,2024-09-20T16:22:17
0,1,227328,10240,237568,223,9,232,29,29,0,0,3.9,4.3,application_1726669773678_0042,2024-09-20T16:22:19
0,1,229376,8192,237568,225,7,232,29,29,0,0,3.0,3.4,application_1726669773678_0042,2024-09-20T16:22:21
0,1,212992,24576,237568,209,23,232,29,29,0,0,9.9,10.3,application_1726669773678_0043,2024-09-20T16:23:38
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:40
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:42
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:44
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:46
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:48
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:50
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:52
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:54
