appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0123,2024-10-02T00:43:26
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0123,2024-10-02T00:43:28
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0123,2024-10-02T00:43:30
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1727684395822_0123,2024-10-02T00:43:32
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1727684395822_0123,2024-10-02T00:43:34
0,1,216064,21504,237568,212,20,232,29,29,0,0,8.6,9.1,application_1727684395822_0123,2024-10-02T00:43:36
0,1,224256,13312,237568,220,12,232,29,29,0,0,5.2,5.6,application_1727684395822_0123,2024-10-02T00:43:38
0,1,234496,3072,237568,230,2,232,29,29,0,0,0.9,1.3,application_1727684395822_0123,2024-10-02T00:43:40
0,1,235520,2048,237568,231,1,232,29,29,0,0,0.4,0.9,application_1727684395822_0124,2024-10-02T00:44:57
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:44:59
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:01
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:03
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:05
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:07
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:09
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:11
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:13
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0124,2024-10-02T00:45:15
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1727684395822_0124,2024-10-02T00:45:17
0,1,209920,27648,237568,206,26,232,29,29,0,0,11.2,11.6,application_1727684395822_0124,2024-10-02T00:45:19
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0124,2024-10-02T00:45:21
0,1,209920,27648,237568,206,26,232,29,29,0,0,11.2,11.6,application_1727684395822_0124,2024-10-02T00:45:23
0,1,214016,23552,237568,210,22,232,29,29,0,0,9.5,9.9,application_1727684395822_0124,2024-10-02T00:45:25
0,1,222208,15360,237568,218,14,232,29,29,0,0,6.0,6.5,application_1727684395822_0124,2024-10-02T00:45:27
0,1,232448,5120,237568,228,4,232,29,29,0,0,1.7,2.2,application_1727684395822_0124,2024-10-02T00:45:29
0,1,231424,6144,237568,227,5,232,29,29,0,0,2.2,2.6,application_1727684395822_0125,2024-10-02T00:46:46
0,1,202752,34816,237568,199,33,232,29,29,0,0,14.2,14.7,application_1727684395822_0125,2024-10-02T00:46:48
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:46:50
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:46:52
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:46:54
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:46:56
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:46:58
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:47:00
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:47:02
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:47:04
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0125,2024-10-02T00:47:06
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1727684395822_0125,2024-10-02T00:47:08
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0125,2024-10-02T00:47:10
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1727684395822_0125,2024-10-02T00:47:12
0,1,212992,24576,237568,209,23,232,29,29,0,0,9.9,10.3,application_1727684395822_0125,2024-10-02T00:47:14
0,1,225280,12288,237568,221,11,232,29,29,0,0,4.7,5.2,application_1727684395822_0125,2024-10-02T00:47:16
0,1,234496,3072,237568,230,2,232,29,29,0,0,0.9,1.3,application_1727684395822_0125,2024-10-02T00:47:18
0,1,235520,2048,237568,231,1,232,29,29,0,0,0.4,0.9,application_1727684395822_0126,2024-10-02T00:48:33
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:35
0,1,199680,37888,237568,196,36,232,29,29,0,0,15.5,15.9,application_1727684395822_0126,2024-10-02T00:48:37
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:39
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:41
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:43
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:45
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:47
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:49
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0126,2024-10-02T00:48:51
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1727684395822_0126,2024-10-02T00:48:53
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1727684395822_0126,2024-10-02T00:48:55
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0126,2024-10-02T00:48:57
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0126,2024-10-02T00:48:59
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0126,2024-10-02T00:49:01
