metricsType,appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0002,1710848966.7473967
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0002,1710848970.27237
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0002,1710848973.803709
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0002,1710848977.3673544
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0002,1710848980.9658453
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0002,1710848984.481853
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0002,1710848987.9544675
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0002,1710848991.410257
metricsType=cluster,0,1,14336,34816,49152,15,33,48,6,6,0,0,68.8,70.8,application_1710848715047_0002,1710848994.866574
metricsType=cluster,0,1,18432,30720,49152,19,29,48,6,6,0,0,60.4,62.5,application_1710848715047_0002,1710848998.370681
metricsType=cluster,0,1,20480,28672,49152,21,27,48,6,6,0,0,56.2,58.3,application_1710848715047_0002,1710849001.8739986
metricsType=cluster,0,1,23552,25600,49152,24,24,48,6,6,0,0,50.0,52.1,application_1710848715047_0002,1710849005.3397803
metricsType=cluster,0,1,29696,19456,49152,30,18,48,6,6,0,0,37.5,39.6,application_1710848715047_0002,1710849008.8717663
metricsType=cluster,0,1,34816,14336,49152,35,13,48,6,6,0,0,27.1,29.2,application_1710848715047_0002,1710849012.4174173
metricsType=cluster,0,1,38912,10240,49152,39,9,48,6,6,0,0,18.8,20.8,application_1710848715047_0002,1710849015.875746
metricsType=cluster,0,1,41984,7168,49152,42,6,48,6,6,0,0,12.5,14.6,application_1710848715047_0002,1710849019.319956
metricsType=cluster,0,1,43008,6144,49152,43,5,48,6,6,0,0,10.4,12.5,application_1710848715047_0002,1710849022.7037354
metricsType=cluster,0,1,43008,6144,49152,43,5,48,6,6,0,0,10.4,12.5,application_1710848715047_0003,1710849065.1964576
metricsType=cluster,0,1,22528,26624,49152,23,25,48,6,6,0,0,52.1,54.2,application_1710848715047_0003,1710849068.5535345
metricsType=cluster,0,1,6144,43008,49152,7,41,48,6,6,0,0,85.4,87.5,application_1710848715047_0003,1710849071.8464324
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849075.117034
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849078.4727821
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849081.8024385
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849085.4319468
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849088.9602716
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849092.6768508
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849096.8096435
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849100.3668492
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0003,1710849103.914249
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849107.4307141
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849110.928169
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849114.463155
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849117.971821
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849121.4847991
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849124.9909043
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849128.4748702
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0003,1710849131.990686
metricsType=cluster,0,1,14336,34816,49152,15,33,48,6,6,0,0,68.8,70.8,application_1710848715047_0003,1710849135.455384
metricsType=cluster,0,1,18432,30720,49152,19,29,48,6,6,0,0,60.4,62.5,application_1710848715047_0003,1710849138.9474323
metricsType=cluster,0,1,22528,26624,49152,23,25,48,6,6,0,0,52.1,54.2,application_1710848715047_0003,1710849142.4000351
metricsType=cluster,0,1,27648,21504,49152,28,20,48,6,6,0,0,41.7,43.8,application_1710848715047_0003,1710849145.8386922
metricsType=cluster,0,1,29696,19456,49152,30,18,48,6,6,0,0,37.5,39.6,application_1710848715047_0003,1710849149.2446969
metricsType=cluster,0,1,32768,16384,49152,33,15,48,6,6,0,0,31.2,33.3,application_1710848715047_0003,1710849152.660715
metricsType=cluster,0,1,44032,5120,49152,44,4,48,6,6,0,0,8.3,10.4,application_1710848715047_0003,1710849156.0640993
metricsType=cluster,0,1,47104,2048,49152,47,1,48,6,6,0,0,2.1,4.2,application_1710848715047_0004,1710849195.5008595
metricsType=cluster,0,1,31744,17408,49152,32,16,48,6,6,0,0,33.3,35.4,application_1710848715047_0004,1710849198.8140955
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849202.1041036
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849205.391484
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849208.6614256
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849211.9549873
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849215.6417365
