metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker1",55.2,2,18.9,16741896192,359665848073,326254108059,1710855496.1018739,application_1710848715047_0051
"metricsType=""worker2",99.5,2,19.8,16741908480,271135025816,294761727519,1710855496.104188,application_1710848715047_0051
"metricsType=""worker4",99.5,2,19.9,16741949440,332085995706,328294770415,1710855496.102803,application_1710848715047_0051
"metricsType=""worker6",99.8,2,20.5,16741945344,291028240658,300969474639,1710855496.1128438,application_1710848715047_0051
"metricsType=""worker5",99.6,2,19.6,16741928960,357576915509,324270147948,1710855496.10575,application_1710848715047_0051
"metricsType=""worker2",99.4,2,19.8,16741908480,271286455426,294913154398,1710855499.2712035,application_1710848715047_0051
"metricsType=""worker3",56.4,2,18.0,16741928960,259691921291,296536755628,1710855499.2741652,application_1710848715047_0051
"metricsType=""worker5",99.8,2,19.6,16741928960,357722839925,324416069634,1710855499.272312,application_1710848715047_0051
"metricsType=""worker1",55.3,2,18.9,16741896192,359739248738,326327504335,1710855499.2690527,application_1710848715047_0051
"metricsType=""worker4",99.7,2,19.9,16741949440,332246021519,328454793307,1710855499.2701747,application_1710848715047_0051
"metricsType=""worker6",99.7,2,20.5,16741945344,291101012468,301118410746,1710855499.2803288,application_1710848715047_0051
"metricsType=""worker5",99.4,2,19.6,16741928960,357869025029,324562252007,1710855502.4519827,application_1710848715047_0051
"metricsType=""worker2",99.7,2,19.8,16741908480,271437258295,295063954544,1710855502.4510367,application_1710848715047_0051
"metricsType=""worker1",55.4,2,18.9,16741896192,359815465544,326403717955,1710855502.448794,application_1710848715047_0051
"metricsType=""worker3",57.9,2,18.0,16741928960,259841294479,296610229726,1710855502.4538713,application_1710848715047_0051
"metricsType=""worker6",99.7,2,20.5,16741945344,291174167392,301267459930,1710855502.4594917,application_1710848715047_0051
"metricsType=""worker4",99.7,2,19.9,16741949440,332405406389,328614175445,1710855502.4500635,application_1710848715047_0051
"metricsType=""worker2",99.8,2,19.8,16741908480,271588439620,295215132645,1710855505.6352508,application_1710848715047_0051
"metricsType=""worker4",99.4,2,19.9,16741949440,332559214995,328767981509,1710855505.6339796,application_1710848715047_0051
"metricsType=""worker5",100.0,2,19.6,16741928960,358016488799,324709713045,1710855505.6362658,application_1710848715047_0051
"metricsType=""worker1",55.9,2,18.9,16741896192,359891814819,326480062918,1710855505.6331072,application_1710848715047_0051
"metricsType=""worker3",56.4,2,18.0,16741928960,259989369920,296681588002,1710855505.6383278,application_1710848715047_0051
"metricsType=""worker6",100.0,2,20.5,16741945344,291247323404,301417328515,1710855505.6440387,application_1710848715047_0051
"metricsType=""worker1",57.5,2,19.0,16741896192,359967430755,326555657866,1710855508.8157432,application_1710848715047_0051
"metricsType=""worker3",58.3,2,18.0,16741928960,260143422781,296756279473,1710855508.8209205,application_1710848715047_0051
"metricsType=""worker2",99.7,2,19.8,16741908480,271742253772,295368943514,1710855508.818233,application_1710848715047_0051
"metricsType=""worker5",100.0,2,19.6,16741928960,358164146966,324857367987,1710855508.8193452,application_1710848715047_0051
"metricsType=""worker6",77.0,2,17.9,16741945344,291266269311,301515646064,1710855508.826881,application_1710848715047_0051
"metricsType=""worker4",99.5,2,19.9,16741949440,332771091433,328979853357,1710855509.8459198,application_1710848715047_0051
"metricsType=""worker5",100.0,2,19.6,16741928960,358355834852,325049052648,1710855512.904834,application_1710848715047_0051
"metricsType=""worker2",99.9,2,20.7,16741908480,271894310412,295492302068,1710855512.9039097,application_1710848715047_0051
"metricsType=""worker1",55.5,2,19.0,16741896192,360066215674,326654434811,1710855512.9016829,application_1710848715047_0051
"metricsType=""worker3",57.1,2,18.0,16741928960,260320914459,296851805554,1710855512.9068246,application_1710848715047_0051
"metricsType=""worker4",99.5,2,19.9,16741949440,332919579647,329128339713,1710855512.9026167,application_1710848715047_0051
"metricsType=""worker6",99.5,2,20.4,16741945344,291266434242,301626448354,1710855512.9123373,application_1710848715047_0051
"metricsType=""worker2",99.7,2,20.7,16741908480,272095409274,295629631052,1710855516.0718775,application_1710848715047_0051
"metricsType=""worker1",55.8,2,19.0,16741896192,360145641510,326733859980,1710855516.0698135,application_1710848715047_0051
"metricsType=""worker5",100.0,2,19.6,16741928960,358504453305,325197667685,1710855516.073079,application_1710848715047_0051
"metricsType=""worker4",99.4,2,19.9,16741949440,333061917594,329270674054,1710855516.0709584,application_1710848715047_0051
"metricsType=""worker6",100.0,2,20.4,16741945344,291266648704,301762142414,1710855516.0809245,application_1710848715047_0051
"metricsType=""worker3",56.1,2,18.0,16741928960,260456271115,296915470234,1710855516.0760727,application_1710848715047_0051
"metricsType=""worker2",97.5,2,20.7,16741908480,272292564118,295762277033,1710855519.2259362,application_1710848715047_0051
"metricsType=""worker1",31.6,2,16.2,16741896192,360183300225,326771610097,1710855519.2237794,application_1710848715047_0051
"metricsType=""worker5",100.0,2,19.6,16741928960,358659155097,325352367489,1710855519.2270212,application_1710848715047_0051
"metricsType=""worker6",100.0,2,20.4,16741945344,291266872481,301904125856,1710855519.2344534,application_1710848715047_0051
"metricsType=""worker3",50.5,2,15.3,16741928960,260588177587,296969793169,1710855519.2291505,application_1710848715047_0051
"metricsType=""worker4",47.5,2,14.4,16741949440,333122547818,329331433264,1710855519.2249677,application_1710848715047_0051
"metricsType=""worker4",0.6,2,14.4,16741949440,333122681157,329331435360,1710855522.3650298,application_1710848715047_0051
"metricsType=""worker1",3.8,2,16.3,16741896192,360183362831,326771657253,1710855522.3641114,application_1710848715047_0051
"metricsType=""worker2",54.9,2,17.9,16741908480,272421354263,295834124555,1710855522.366407,application_1710848715047_0051
"metricsType=""worker5",28.4,2,14.0,16741928960,358695556852,325388747055,1710855522.3673801,application_1710848715047_0051
"metricsType=""worker3",3.3,2,15.3,16741928960,260652943707,296969872905,1710855522.3693037,application_1710848715047_0051
"metricsType=""worker6",87.3,2,14.9,16741945344,291267071960,302026199545,1710855522.374957,application_1710848715047_0051
"metricsType=""worker1",0.6,2,13.8,16741896192,360184324642,326772288708,1710855564.5982919,application_1710848715047_0052
"metricsType=""worker3",0.1,2,15.3,16741928960,260652980498,296969894007,1710855564.603467,application_1710848715047_0052
"metricsType=""worker2",0.9,2,14.2,16741908480,272421412499,295834154179,1710855564.6006277,application_1710848715047_0052
"metricsType=""worker4",0.5,2,14.4,16741949440,333122714177,329331513172,1710855564.5995002,application_1710848715047_0052
"metricsType=""worker6",1.2,2,15.3,16741945344,291267911479,302026877678,1710855565.6160498,application_1710848715047_0052
"metricsType=""worker5",7.9,2,16.8,16741928960,358696708179,325389671523,1710855565.6089537,application_1710848715047_0052
"metricsType=""worker2",82.8,2,18.4,16741908480,272443747313,295856473046,1710855568.6650364,application_1710848715047_0052
"metricsType=""worker3",82.1,2,19.6,16741928960,260677011878,296994378719,1710855568.6678789,application_1710848715047_0052
"metricsType=""worker1",61.5,2,16.5,16741896192,360231479807,326819652704,1710855568.6628473,application_1710848715047_0052
"metricsType=""worker4",83.4,2,18.7,16741949440,333143786675,329352804093,1710855568.663848,application_1710848715047_0052
"metricsType=""worker5",97.7,2,20.1,16741928960,358718806768,325411772449,1710855568.6660771,application_1710848715047_0052
"metricsType=""worker6",66.4,2,17.6,16741945344,291312881338,302071853412,1710855568.673386,application_1710848715047_0052
"metricsType=""worker1",51.4,2,16.5,16741896192,360306637976,326894809209,1710855571.767435,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.6,16741908480,272621830756,295978645534,1710855571.769718,application_1710848715047_0052
"metricsType=""worker3",99.8,2,20.7,16741928960,260744398574,297117672324,1710855571.7725327,application_1710848715047_0052
"metricsType=""worker5",99.5,2,21.7,16741928960,358836948481,325529912968,1710855571.7708023,application_1710848715047_0052
"metricsType=""worker6",51.6,2,17.6,16741945344,291392800713,302151771124,1710855571.7781742,application_1710848715047_0052
"metricsType=""worker4",99.7,2,19.8,16741949440,333272280026,329481295422,1710855571.7688668,application_1710848715047_0052
"metricsType=""worker1",51.6,2,16.5,16741896192,360382754797,326970924013,1710855574.883854,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,260818138676,297257734008,1710855574.8889692,application_1710848715047_0052
"metricsType=""worker4",99.7,2,19.8,16741949440,333428656163,329637668817,1710855574.8851488,application_1710848715047_0052
"metricsType=""worker6",51.8,2,17.7,16741945344,291473679517,302232647910,1710855574.8946753,application_1710848715047_0052
"metricsType=""worker5",99.4,2,21.8,16741928960,358976164710,325669125045,1710855574.8875618,application_1710848715047_0052
"metricsType=""worker2",99.4,2,19.7,16741908480,272827339440,296117761981,1710855574.8867414,application_1710848715047_0052
"metricsType=""worker1",52.6,2,16.5,16741896192,360457524505,327045691848,1710855577.9924386,application_1710848715047_0052
"metricsType=""worker4",99.8,2,19.9,16741949440,333584000466,329793010868,1710855577.9934406,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,273028409530,296253663236,1710855577.9946942,application_1710848715047_0052
"metricsType=""worker5",99.7,2,21.8,16741928960,359119799584,325812753302,1710855577.9956963,application_1710848715047_0052
"metricsType=""worker6",52.3,2,17.7,16741945344,291553661393,302312627722,1710855578.0032358,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,260893036950,297397928880,1710855577.9998689,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,273225081782,296384764164,1710855581.1039445,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,260963002898,297533392522,1710855581.106757,application_1710848715047_0052
"metricsType=""worker1",52.4,2,16.5,16741896192,360530565748,327118730918,1710855581.101835,application_1710848715047_0052
"metricsType=""worker5",99.2,2,21.9,16741928960,359256704018,325949656557,1710855581.1050456,application_1710848715047_0052
"metricsType=""worker4",99.4,2,19.9,16741949440,333736338316,329945344937,1710855581.1028478,application_1710848715047_0052
"metricsType=""worker6",53.2,2,17.7,16741945344,291633517682,302392482028,1710855581.1123493,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261039381674,297679343628,1710855584.3304389,application_1710848715047_0052
